id,GPStime,centralFreq,peakFreq,snr,ifo,bandwidth,duration
YVnrMXRcUP,1132260729.84,2960.81,38.027,63.4,H1,5902.753418,2
qD8uxo1Jeu,1132725238.507,1119.993,324.754,11.789,H1,2135.070557,0.07
Z5grpD4TOG,1128421606.355,236.863,134.965,8,L1,211.306503,0.047
4TskgvMLa2,1132885869.673,1905.332,137.711,14.362,H1,3742.343506,0.125
ZMEZmAs4gO,1132755312.856,1119.433,170.654,9.087,H1,2174.645996,0.23
9GBIUUjgZl,1134014965.281,2411.479,10.88,23.746,L1,4810.672363,1.75
xWVKeJoM00,1133139100.116,352.957,137.711,110.611,H1,670.013184,1.5
lVel5ZFeo7,1133195175.267,232.973,137.711,22.669,H1,430.044647,0.5
8csWRkVAdm,1136799065.781,131.169,129.45,7.536,L1,4.65917,0.75
jpIGx2mIqs,1134636724.375,2959.164,10.362,36.287,L1,5906.043457,6.75
hiFqWQVn5g,1132644423.402,4424.746,1046.149,11.857,L1,7051.473633,0.645
VJQT8VNkQj,1135333677.813,2399.434,11.139,8.183,H1,4780.712891,3.25
10XWucXqN5,1129719539.815,300.035,121.663,14.763,L1,536.069153,0.188
CqfSs5I04j,1127007485.774,177.478,99.067,13.012,H1,258.43045,0.094
EzlaTKFAg3,1128388972.105,186.775,134.965,7.798,L1,125.532547,0.055
7oYpXfxz3V,1126595214.113,1972.764,225.349,924.024,H1,3881.52832,5.875
ZRBcq5DuGW,1130941353.328,61.445,59.708,15.511,H1,38.22551,1.25
VMFKye1Co9,1127326450.507,1613.772,183.495,307.559,H1,3163.544189,1.625
El4ErjloMU,1133008316.427,303.81,262.065,11.603,H1,502.703705,0.047
7XZbPwSpC2,1132126154.159,3981.086,111.128,281.79,L1,7938.793457,2.637
Wvy39iUgpo,1132224307.775,191.88,89.676,14.412,H1,339.271149,0.25
QxN8tDOTrS,1127167891.266,62.156,60.799,13.194,H1,27.78573,0.625
IbJfxlp7Kg,1132552484.875,3697.979,18.113,453.564,L1,7387.958496,9
tYKlS2KyrW,1135118752.375,1324.697,10.179,16.332,L1,2635.286133,3.35
COLQfWR1NV,1133143418.808,440.05,211.477,29.686,H1,824.968018,0.219
jWcxPi19ME,1128421871.332,182.187,134.965,9.996,L1,227.876022,0.047
Snqy9wknOU,1128633054.224,368.471,149.414,57.126,H1,658.344238,0.344
b1w4OftZvn,1132628782.682,4460.082,1810.334,14.013,L1,6301.775879,0.538
wFvsoT4Cvu,1133682231.97,663.572,111.128,44.423,H1,1291.24292,0.75
djV1ZgWm6B,1130088075.172,71.08,59.708,14.45,H1,57.495892,0.875
qxO9diw1h9,1133874202.129,70.829,47.124,13.017,L1,105.757057,0.75
t0XCPjQqNR,1128397780.731,444.386,121.663,69.947,H1,824.772766,0.75
uQiUCgOWOJ,1132319182.603,206.987,137.711,10.514,H1,309.057831,0.078
TVSnYhS2YP,1132158485.727,2484.819,13.013,16.178,L1,4957.352051,2.25
0uV5aQjPHF,1128442672.71,1371.171,417.4,34.647,L1,2663.744629,0.188
kEnyn76fdF,1129507224.403,838.171,339.876,14.818,H1,1497.552124,0.047
904C3wJOi0,1128683958.208,1653.409,512.608,60.335,H1,3242.818115,0.875
1dlDfES24R,1126841884.397,212.456,121.663,25.929,H1,328.385895,0.281
NQP27Bgre2,1131108946.375,3978.902,11.327,12.016,L1,7943.162109,8.353
lt97JI7uzZ,1134149338.295,288.703,72.366,15.053,H1,532.917053,0.313
LSt3dVNzkR,1126564887.507,140.865,99.067,20.288,L1,217.730896,0.25
6ooVRyaxlA,1132783277.604,97.816,111.128,7.81,H1,110.968559,0.02
QiknPLcspF,1135808062.632,294.661,211.477,21.201,H1,521.001648,0.313
SmWjrifztw,1129349617.924,2011.657,1451.715,8.875,L1,3803.743408,1.035
gl4TNB000L,1133213833.279,294.661,211.477,12.718,H1,521.001648,0.063
AHJfQESty0,1133689338.938,1102.549,53.224,9.505,H1,2148.629883,0.969
p0E6cnRTRr,1127188969.775,144.515,80.667,9.69,H1,210.431824,0.125
WH7CrF4MvV,1132580128.923,2007.188,137.711,8.314,H1,3884.363037,0.08
wJaDLHFTUr,1134463720.2,303.81,170.654,9.625,L1,502.703705,0.031
4A5SeLoXsa,1128635189.524,247.28,149.414,20.051,L1,430.560944,0.156
ZjJsOTL8dQ,1129710237.577,1993.16,121.663,8.623,L1,3840.737305,1.741
JkV15f6sMF,1134003232.88,250.227,137.711,14.678,H1,395.537262,0.156
YIKuxKXJYt,1136394076.431,2959.899,137.711,12.516,H1,5904.574219,1.375
hZOrxwRnK7,1134569501.379,2194.916,38.027,17.316,L1,4360.859863,0.775
riKntMUvAJ,1128986114.607,300.035,53.485,67.004,H1,536.069153,1.125
QGKPYKyJH4,1133991086.195,49.254,27.9,22.028,H1,62.606571,0.344
q2WU61huEq,1132823761.788,3703.222,111.128,164.047,L1,7377.473145,1.833
ni1RiljeQW,1129703530.972,148.997,149.414,8.209,H1,201.46788,0.016
L1ZDV1Oum4,1131657211.434,69.097,38.027,14.628,H1,109.222214,0.5
WXg5Akg7aG,1135316056.688,3238.679,22.287,21.038,H1,6448.387207,2.031
4WXT7g575l,1132660467.473,2636.786,47.124,29.614,H1,5237.670898,1.125
5EUciU3au8,1136404645.922,2818.908,12.239,19.09,H1,5622.592285,5.25
9Q5CL00Apa,1126952509.948,1104.523,183.495,311.605,H1,2145.045654,1.875
GTq0Q5wzwu,1129282220.361,168.977,53.485,11.151,H1,273.953857,0.25
zorZbyGfgT,1133688818.971,2199.807,72.366,68.158,L1,4363.711914,1.25
6aTSFRMWQu,1128879173.62,555.735,225.349,16.992,L1,992.927429,0.094
sUGo98tur0,1132035830.699,4007.745,262.065,22.055,L1,7885.476074,0.156
5uWBE0rB2h,1131469796.813,3121.531,29.636,14.277,L1,6192.341309,2
7NqEdITJ1D,1135644619.141,2473.778,10.501,8.366,L1,4933.144531,1.5
9RiquKul0P,1134155690.23,2652.091,38.027,28.049,L1,5268.28125,1.25
eKniGvL4Cb,1128775339.345,448.036,99.067,11.183,H1,817.473694,0.156
A4JoNyThCT,1134158150.511,3133.703,111.128,49.263,H1,6231.503906,2.375
lCn6toiziz,1130153920.638,195.779,183.481,7.873,L1,191.902512,1.082
iJbGPXQSrA,1136566819.031,1464.572,15.513,7.679,H1,2905.765137,2.25
gNxzvOJgLQ,1128404089.738,190.906,120.558,12.051,L1,163.58963,0.055
BcW9VNu7Vl,1130785940.498,1031.46,262.065,12.633,H1,1958.004639,0.047
hLHeshYD1B,1134479070.313,24.323,20.388,13.036,H1,19.674629,2.25
fSqtHJivia,1126885178.106,662.101,149.414,80.879,H1,1260.201172,0.875
hzED3UKstY,1131000870.891,2502.803,59.708,13.633,H1,4920.942383,1
oCUxZeVneM,1127431820.749,300.035,99.067,31.816,H1,536.069153,0.438
kyXFmL7wB7,1127315774.324,452.518,213.307,8.994,H1,808.509766,0.109
P4cmyJRAnx,1128335875.378,1891.203,225.349,627.356,H1,3718.40625,1.688
fGvq7wGGF1,1134990782.494,1048.789,402.439,59.689,L1,2029.258057,0.313
xobLuxZCkT,1127321331.562,148.997,99.067,9.477,H1,201.46788,0.047
rC81k90j5G,1136567004.938,3977.241,16.117,1669.547,H1,7946.48291,6.984
Q034HPdK5T,1135125840.948,2208.839,111.128,15.764,L1,4333.013672,0.274
rh30pN3Fun,1135538198.922,3977.241,17.422,44.207,L1,7946.48291,5
HXBBLVJRXM,1127311299.668,2145.089,1711.164,8.222,L1,3536.879395,0.039
i5GlVLIk94,1134146449.825,213.261,170.654,8.462,H1,296.509125,0.031
71dTTEfDQq,1126783440.139,83.413,53.485,11.934,H1,102.826599,0.313
B9RG6OZTuO,1128388955.426,764.215,134.965,7.925,L1,1280.412354,0.104
LvEPtSuyiy,1129362419.146,1521.968,80.667,264.85,H1,2979.936523,2.688
OonOZHaR0U,1127385269.344,776.262,48.344,7.698,H1,1457.91394,0.577
qqVrg3FF6o,1132803799.533,288.703,89.676,27.393,H1,532.917053,0.375
2hhFYCQWDF,1130068435.162,235.12,89.676,29.019,H1,425.75058,0.625
mqzze2HIi4,1133473450.688,1080.194,64.915,7.966,L1,2031.755493,0.625
i0xCA0weGF,1136037713.688,1712.784,47.068,23.833,H1,3403.660889,2.125
qtD0srbEhR,1134923781.375,3585.045,10.072,167.801,H1,7160.17627,15
dXjtH7mau8,1129801670.202,1748.486,2025.31,26.653,H1,3432.9729,0.25
7OhMIqow1P,1130979647.378,1703.891,498.708,139.251,H1,3392.557617,2.875
L7MeMN0I4U,1131659209.875,2831.446,10.179,8.598,L1,5650.606934,2.75
lFauB3ofxV,1128744128.353,364.822,121.663,108.379,H1,665.643311,0.906
8ISicZk0GB,1136623688.375,1167.741,10.179,11.11,L1,2323.197266,1.5
5kz961pbGT,1127824213.665,1563.55,629.531,892.404,L1,3063.099121,5.125
rtaaGWBMZu,1129193922.341,1233.127,276.75,15.938,H1,2320.672363,0.063
gG3qOGfkj5,1127181622.985,204.324,183.495,14.842,L1,344.648926,0.141
gS7Quwm36G,1128700677.715,190.182,169.15,8.974,H1,119.097008,0.197
goQWqytlBn,1131343302.219,3978.551,38.713,502.414,L1,7943.863281,2.414
EzmosEsbVf,1129802108.761,1748.486,2025.31,18.858,H1,3432.9729,0.094
SKMQNG0MJU,1132548531.868,440.05,211.477,41.257,H1,824.968018,0.625
oVMV4EJz1Y,1136286059.875,3457.911,11.127,32.903,L1,6907.822266,5.25
hTdJMgNZRt,1126524017.909,250.93,99.067,20.711,H1,423.261902,0.313
chQLyZklAq,1136406237.008,1956.611,560.503,8.045,L1,2887.116699,0.189
E5aPQop6HO,1128035619.979,131.31,99.067,10.888,H1,144.076462,0.156
OCCxaEzQYc,1127450029.421,316.764,183.495,18.105,H1,554.930786,0.375
HbDdyDThON,1127240201.149,2149.876,1752.337,7.742,L1,1645.055664,0.646
wqQUYLKBe7,1129984716.597,291.364,211.477,20.214,H1,527.595764,0.297
TNEcs1m4pB,1126409567.512,277.571,35.462,58.189,L1,491.14151,1.5
zdwD5WBZ1w,1133583269.163,452.496,170.654,13.2,H1,800.075928,0.156
QLrjzTAynR,1127354958.359,68.829,59.089,12.406,H1,41.13155,0.688
EDTnxDr8RA,1134116769.842,87.773,58.396,16.673,H1,131.055557,1.25
Q3scb4u549,1129657775.734,293.132,60.799,11.313,H1,489.737183,0.688
w9qCVV22ZU,1135101974.203,585.235,10.501,7.923,L1,1158.185669,1.5
FeH0hdNvQ6,1135049214.559,1251.541,47.124,99.883,H1,2479.702881,2.5
8tNNUQHjZI,1127315837.412,1212.732,80.667,13.174,H1,2361.463379,0.313
p4hFsRIg8L,1133916609.266,2881.473,262.065,24.134,L1,5658.030273,0.234
FGf6Ah4RJ5,1126874416.863,600.182,645.337,10.497,H1,275.241272,0.258
R1gMuJOlDx,1134922282.766,115.92,108.772,7.834,L1,75.723717,1
r50zpfYUP4,1127496952.195,1704.822,221.064,8.716,H1,3139.991699,0.375
OeachqqctF,1132211767.158,3005.522,89.676,94.757,H1,5982.073242,1.594
uqo158972r,1128421761.746,214.352,134.965,7.76,L1,180.685379,0.039
V00ksgdP5z,1129802281.171,2014.709,2025.31,21.405,H1,3146.442871,0.143
YwZ9oNPUfK,1130298198.298,3053.012,183.481,7.812,L1,5981.602051,2.438
c56zEfJDCZ,1133166777.838,197.838,89.676,14.47,H1,327.355743,0.5
3c9uXjxWYC,1128432850.176,1212.732,43.551,623.47,L1,2361.463379,5.688
G1Bqq2CG27,1132389786.551,361.062,211.477,16.305,L1,653.803711,0.063
vKGJy10y9R,1129068185.814,173.538,137.896,7.596,H1,152.386063,0.234
zBdhaYGt12,1136633256.625,113.056,22.301,18.945,H1,208.923203,2.75
MAywMCapRB,1128467894.81,670.232,183.495,14.888,H1,1243.93811,0.125
FS87tK16hu,1134268032.926,57.157,38.027,13.596,H1,85.342102,1.25
q7cf8AJooE,1132160285.114,206.987,137.711,9.856,H1,309.057831,0.154
uFrJe1q18M,1131059034.116,3577.736,170.654,88.993,H1,7140.248047,1.25
gn9fbgA5yQ,1134163238.613,58.889,38.027,14.107,L1,81.876953,0.375
3wIB9y4D8y,1129724323.141,57.674,60.799,15.046,H1,36.74968,0.75
d53Z7rQZO7,1132884909.591,675.763,211.477,14.648,H1,1266.861816,0.237
1NHTqhTAs6,1128421710.73,182.187,134.965,9.88,L1,227.876022,0.172
ggO9UHvnax,1134461913.345,2819.819,137.711,209.248,H1,5620.771484,2.5
5OeQ0ZnZDM,1135504508.984,3978.313,15.488,92.199,L1,7944.340332,7.5
eixWby4XR5,1128331858.221,98.79,53.485,7.515,H1,133.579987,0.063
wsQy1cidDJ,1135878015.623,370.211,211.477,15.796,H1,635.505798,0.094
6GWmuMgIN8,1136038111.406,656.747,46.261,11.983,H1,1274.809448,1.781
tJywNmz3Hr,1132966339.626,671.677,262.065,25.4,H1,1275.033447,0.25
Q9G6NwQY5L,1136694873.516,721.396,246.224,8.495,L1,1136.191406,2.891
SiDy9o3LRV,1136439112.219,2968.672,10.88,14.608,H1,5925.05957,2.5
GoYFog55Pr,1135329126.375,3360.372,26.944,13.073,H1,6691.771973,2.25
P2sZi9Am4B,1134409736.926,3911.897,324.754,60.772,H1,7779.305664,0.642
iHbYGch54z,1137217085.514,1751.744,1527.022,12.127,L1,1479.296509,0.063
vZUjcgwtmY,1129313195.391,169.563,122.105,7.567,H1,160.336334,0.781
BHqXLizINH,1132726511.563,3448.536,65.531,8.203,L1,6771.488281,0.75
nI8fjXSxMz,1128539719.438,1521.968,33.663,433.991,L1,2979.936523,7.219
AvUJqkla3t,1132218333.818,549.402,262.065,12.738,H1,1014.139771,0.039
Gjj69KHorC,1133336441.813,64.72,64.915,8.55,L1,3.85665,0.5
3YZVBSHb0b,1128421908.746,182.187,134.965,9.324,L1,227.876022,0.172
d6uPuMxnCU,1135809905.347,240.642,137.711,24.321,H1,414.707062,0.5
OfsbtNFosc,1129298428.489,245.593,236.873,7.957,H1,129.722855,0.207
U24gu66XS6,1134909854.731,2373.628,261.193,48.659,H1,4734.970215,5
zB4WfhUzBH,1129074348.229,300.035,121.663,13.317,H1,536.069153,0.078
P8AnICRswl,1133991118.836,2810.734,48.249,28.888,H1,5585.565918,0.538
dkGJWPOmyQ,1135552142.907,2867.661,170.654,284.225,L1,5711.942383,3.5
J76kRUQauA,1136413342.531,3404.973,10.88,10.064,H1,6794.723145,2.091
N3HBofs3Zf,1134298384.563,3904.581,20.755,20.182,H1,7793.938477,4.75
vpES1tBhbw,1132170377.366,1879.561,137.711,25.149,H1,3703.990479,0.313
IBTpqhTfIX,1128672502.993,204.324,212.58,10.684,L1,344.648926,0.188
tRy1dOwHZB,1136286068.09,1680.326,477.053,8.576,L1,3113.23584,0.38
zRj2jWGWvp,1132938811.923,539.358,262.065,30.833,H1,1034.226807,0.313
i3DEmNlkYn,1132634875.656,3586.373,10.88,12.554,L1,7157.521484,1.75
ZPa91JliQh,1128421884.238,186.419,134.965,8.926,L1,239.533707,0.188
pQlCR2QIzo,1132150962.311,2282.823,58.396,48.97,H1,4536.675293,1.5
HJEfzXPlpO,1127383505.867,1410.662,196.888,9.089,H1,2473.34082,3.344
vHSQYM08jR,1130059160.603,1251.541,137.711,190.066,H1,2479.702881,1.5
Yf0xlV8CV4,1136452699.781,11.802,11.319,9.249,H1,5.367,0.75
f483cSh56y,1134389287.296,1032.509,111.128,21.339,H1,2009.885376,0.438
qiOJvCXifs,1135914526.107,1101.794,211.477,26.363,L1,2170.473877,1.25
y3ZWmj6qog,1132261499.363,3977.241,24.763,3386.574,L1,7946.48291,8.75
TN9Y1ISPHd,1127445159.456,1770.325,183.495,7.812,L1,3330.222656,0.685
GTsqYQqtRF,1129756285.921,464.782,225.349,14.467,L1,783.981567,0.047
DT4HtpVI8h,1130880755.386,2373.035,211.477,2056.615,H1,4736.15625,5.75
cfSUWOZT5E,1126670412.905,172.996,121.663,14.227,L1,267.394379,0.25
3tdb2QUKa3,1126618732.359,52.396,48.394,10.636,H1,40.791199,0.5
BsqzCxu0yX,1128741710.982,452.518,80.667,10.963,H1,808.509766,0.094
V14d3XImw2,1132932414.905,3028.785,111.128,149.926,L1,6028.598633,1.75
q9vXfgcHVU,1134529418.875,3230.68,18.634,827.75,L1,6453.36084,9.469
12ms779EAt,1133798911.875,16.244,10.93,7.531,L1,12.0025,1.25
GScxLTNi7b,1134156833.59,58.889,38.027,21.531,L1,81.876953,1
Df52cCVWQE,1132644128.875,3868.626,10.93,9.602,L1,7719.015137,2.965
WqkNjbEBVp,1131907589.875,2958.093,22.513,502.805,L1,5908.186035,1
XNSLFLF0Be,1136122875.063,2753.833,12.32,15.835,H1,5489.429688,2.875
yLl687BwrQ,1132076040.345,361.062,137.711,16.51,H1,653.803711,0.25
GLho1tndJJ,1128486960.826,144.515,80.667,11.752,L1,210.431824,0.156
c3er1YENhI,1129802346.716,2084.469,2025.31,13.62,H1,2380.697266,0.086
VsbYmo2j8w,1135964602.712,206.987,137.711,13.025,H1,309.057831,0.078
ZLBDD0Wokm,1132615533.875,3977.241,18.113,891.189,L1,7946.48291,10.375
7e2R0acZqD,1135762907.07,1145.32,13.013,8.161,H1,2273.593018,2.75
Vqy6KyhEKk,1132968148.888,3403.646,262.065,1743.639,H1,6797.37793,5.75
bhYfz7Ru6V,1128432690.457,158.524,134.965,8.349,L1,69.029388,0.047
5uA2L70sTz,1132633877.255,1921.928,324.754,88.592,H1,3807.954834,0.75
AsTKFhYJ4e,1136213121.508,269.83,320.854,8.84,L1,347.598877,0.299
a4mGvLi67m,1127425449.104,2110.111,1337.828,9.776,L1,3606.834961,0.034
5bBKueDYyB,1129785585.886,104.072,99.067,7.618,L1,123.016418,0.719
Ka8zlni585,1128421906.73,187.218,134.965,9.215,L1,237.936432,0.141
3j1g2dDRhd,1135126905.984,10.373,10.501,8.422,L1,8.45979,0.813
7ha0PR2NFl,1133275377.188,3412.29,30.711,13.66,H1,6780.090332,1.809
lx7QH00J7c,1133681530.563,1248.083,31.825,12.762,H1,2459.845459,1.5
V8PiUaIOsV,1126645666.488,169.347,43.551,69.673,H1,274.693451,1.75
ZBZ7nEiD3W,1131653578.271,112.066,72.366,11.503,H1,155.81163,0.156
lG0bCA0HKi,1132732533.361,2483.958,262.065,50.397,L1,4912.784668,0.459
eie9I6Bpmq,1133377410.6,3000.758,262.065,1187.584,H1,5991.602051,5.772
t7B4wDupji,1136738034.781,3403.167,31.546,11378.675,H1,6798.334961,8.52
4itmbqTtPY,1135363302.476,843.689,324.754,18.933,H1,1557.363403,0.188
3MEJG6m6DW,1130504178.266,61.445,59.708,11.908,H1,38.22551,0.875
Fmgdq6pkRq,1127356823.524,1972.764,225.349,2797.802,H1,3881.52832,9.375
